target,source,flow,target_name,source_name,target_source
212,260,4211.0,"HIG-SPRG/ALB, VERMONT",CANADA,212-260
1703,805,38.0,"SAVANNAH, GEORGIA",RUSSIA,1703-805
2704,795,1478.0,"LOS ANGELES, CALIFORNIA",SINGAPORE,2704-795
2704,275,193,"LOS ANGELES, CALIFORNIA",CHILE,2704-275
2812,785,52933.0,"RICHMOND, CALIFORNIA",SAUDI ARABIA,2812-785
2711,785,14883.0,"EL SEGUNDO, CALIFORNIA",SAUDI ARABIA,2711-785
2711,325,17789.0,"EL SEGUNDO, CALIFORNIA",ECUADOR,2711-325
2711,285,22026.0,"EL SEGUNDO, CALIFORNIA",COLOMBIA,2711-285
2812,580,289.0,"RICHMOND, CALIFORNIA",MALAYSIA,2812-580
1901,595,30552.0,"MOBILE, ALABAMA",MEXICO,1901-595
2812,490,841.0,"RICHMOND, CALIFORNIA",JAPAN,2812-490
1903,940,9931.0,"PASCAGOULA, MISSISSIPPI",VENEZUELA,1903-940
1903,480,420.0,"PASCAGOULA, MISSISSIPPI",ITALY,1903-480
1004,350,291,"PERTH AMBOY, NEW JERSEY",FRANCE,1004-350
2812,325,323,"RICHMOND, CALIFORNIA",ECUADOR,2812-325
2812,125,7404.0,"RICHMOND, CALIFORNIA",ALGERIA,2812-125
1903,220,6978.0,"PASCAGOULA, MISSISSIPPI",BRAZIL,1903-220
2711,940,497.0,"EL SEGUNDO, CALIFORNIA",VENEZUELA,2711-940
1901,887,360,"MOBILE, ALABAMA",TRINIDAD AND TOBAGO,1901-887
3426,260,14.0,"ROSEAU, MINNESOTA",CANADA,3426-260
3423,260,35.0,"WARROAD, MINNESOTA",CANADA,3423-260
5505,260,56294.0,"TULSA, OKLAHOMA",CANADA,5505-260
5312,285,11540.0,"CORPUS CHRIS, TEXAS",COLOMBIA,5312-285
5312,325,2372.0,"CORPUS CHRIS, TEXAS",ECUADOR,5312-325
401,925,10189.0,"BOSTON, MASSACHUSETTS",UNITED KINGDOM,401-925
5312,940,2975.0,"CORPUS CHRIS, TEXAS",VENEZUELA,5312-940
2017,940,7564.0,"LAKE CHARLES, LOUISIANA",VENEZUELA,2017-940
3422,260,204.0,"DUNSEITH, NORTH DAKOTA",CANADA,3422-260
1001,515,13.0,"NEW YORK, NEW YORK","KOREA, SOUTH",1001-515
1001,280,111.0,"NEW YORK, NEW YORK",CHINA,1001-280
1803,180,284,"JACKSONVILLE, FLORIDA","BAHAMAS, THE",1803-180
1703,480,119,"SAVANNAH, GEORGIA",ITALY,1703-480
1803,940,277.0,"JACKSONVILLE, FLORIDA",VENEZUELA,1803-940
1703,940,166.0,"SAVANNAH, GEORGIA",VENEZUELA,1703-940
1803,480,245.0,"JACKSONVILLE, FLORIDA",ITALY,1803-480
2102,260,100,"SABINE, TEXAS",CANADA,2102-260
209,260,804.0,"DERBY LINE, VERMONT",CANADA,209-260
152,260,4588.0,"SEARSPORT, MAINE",CANADA,152-260
3102,260,1073.0,"KETCHIKAN, ALASKA",CANADA,3102-260
3402,260,651.0,"NOYES, MINNESOTA",CANADA,3402-260
2909,862,373.0,"KALAMA, WASHINGTON",TAIWAN,2909-862
4908,685,77.0,"PONCE, PUERTO RICO",NORWAY,4908-685
4908,887,567.0,"PONCE, PUERTO RICO",TRINIDAD AND TOBAGO,4908-887
3308,260,12.0,"PORTHILL, IDAHO",CANADA,3308-260
3417,260,575.0,"FORTUNA, NORTH DAKOTA",CANADA,3417-260
3201,490,1747.0,"HONOLU/PEARL, HAWAII",JAPAN,3201-490
1704,220,9,"ATLANTA, GEORGIA",BRAZIL,1704-220
3201,515,6455.0,"HONOLU/PEARL, HAWAII","KOREA, SOUTH",3201-515
2010,220,6967.0,"GRAMERCY, LOUISIANA",BRAZIL,2010-220
2010,925,7808.0,"GRAMERCY, LOUISIANA",UNITED KINGDOM,2010-925
2004,350,533.0,"BATON ROUGE, LOUISIANA",FRANCE,2004-350
2002,220,1116.0,"NEW ORLEANS, LOUISIANA",BRAZIL,2002-220
3304,260,14687.0,"GREAT FALLS, MONTANA",CANADA,3304-260
5301,785,3717.0,"HOUSTON, TEXAS",SAUDI ARABIA,5301-785
2101,805,9339.0,"PORT ARTHUR, TEXAS",RUSSIA,2101-805
2704,350,594.0,"LOS ANGELES, CALIFORNIA",FRANCE,2704-350
5301,190,3127.0,"HOUSTON, TEXAS",BELGIUM,5301-190
5301,685,2081.0,"HOUSTON, TEXAS",NORWAY,5301-685
2004,630,676.0,"BATON ROUGE, LOUISIANA",NETHERLANDS,2004-630
502,260,13397.0,"PROVIDENCE, RHODE ISLAND",CANADA,502-260
401,630,438.0,"BOSTON, MASSACHUSETTS",NETHERLANDS,401-630
5301,465,11370.0,"HOUSTON, TEXAS",IRAQ,5301-465
2004,685,1200.0,"BATON ROUGE, LOUISIANA",NORWAY,2004-685
5301,595,81828.0,"HOUSTON, TEXAS",MEXICO,5301-595
2004,260,4186.0,"BATON ROUGE, LOUISIANA",CANADA,2004-260
2004,465,1707.0,"BATON ROUGE, LOUISIANA",IRAQ,2004-465
2004,190,2293.0,"BATON ROUGE, LOUISIANA",BELGIUM,2004-190
1003,350,7258.0,"NEWARK, NEW JERSEY",FRANCE,1003-350
2002,350,29.0,"NEW ORLEANS, LOUISIANA",FRANCE,2002-350
2004,805,11445.0,"BATON ROUGE, LOUISIANA",RUSSIA,2004-805
2004,910,3172.0,"BATON ROUGE, LOUISIANA",UNITED ARAB EMIRATES,2004-910
2101,285,3611.0,"PORT ARTHUR, TEXAS",COLOMBIA,2101-285
2010,260,3319.0,"GRAMERCY, LOUISIANA",CANADA,2010-260
2004,925,213.0,"BATON ROUGE, LOUISIANA",UNITED KINGDOM,2004-925
5301,260,25426.0,"HOUSTON, TEXAS",CANADA,5301-260
5301,925,2091.0,"HOUSTON, TEXAS",UNITED KINGDOM,5301-925
5301,520,1603.0,"HOUSTON, TEXAS",KUWAIT,5301-520
2004,125,5068.0,"BATON ROUGE, LOUISIANA",ALGERIA,2004-125
2010,910,417.0,"GRAMERCY, LOUISIANA",UNITED ARAB EMIRATES,2010-910
1003,720,1764.0,"NEWARK, NEW JERSEY",PERU,1003-720
502,630,3293.0,"PROVIDENCE, RHODE ISLAND",NETHERLANDS,502-630
1003,925,8627.0,"NEWARK, NEW JERSEY",UNITED KINGDOM,1003-925
3414,260,18.0,"SHERWOOD, NORTH DAKOTA",CANADA,3414-260
3501,260,101082.0,"MINNEAPOLIS, MINNESOTA",CANADA,3501-260
5312,465,18770.0,"CORPUS CHRIS, TEXAS",IRAQ,5312-465
108,260,341.0,"VAN BUREN, MAINE",CANADA,108-260
5104,805,355.0,"CHRISTIANSTD, VIRGIN ISLANDS",RUSSIA,5104-805
1101,805,5477.0,"PHILADELPHIA, PENNSYLVANIA",RUSSIA,1101-805
4908,630,266.0,"PONCE, PUERTO RICO",NETHERLANDS,4908-630
5104,630,222.0,"CHRISTIANSTD, VIRGIN ISLANDS",NETHERLANDS,5104-630
5104,925,110,"CHRISTIANSTD, VIRGIN ISLANDS",UNITED KINGDOM,5104-925
4908,925,103.0,"PONCE, PUERTO RICO",UNITED KINGDOM,4908-925
4908,550,237.0,"PONCE, PUERTO RICO",LIBYA,4908-550
5104,350,401.0,"CHRISTIANSTD, VIRGIN ISLANDS",FRANCE,5104-350
1101,285,6402.0,"PHILADELPHIA, PENNSYLVANIA",COLOMBIA,1101-285
1102,285,226.0,"CHESTER, PENNSYLVANIA",COLOMBIA,1102-285
4908,220,1242.0,"PONCE, PUERTO RICO",BRAZIL,4908-220
1004,830,5212.0,"PERTH AMBOY, NEW JERSEY",SPAIN,1004-830
4908,150,1323.0,"PONCE, PUERTO RICO",ARGENTINA,4908-150
5104,125,1476.0,"CHRISTIANSTD, VIRGIN ISLANDS",ALGERIA,5104-125
5104,150,1239.0,"CHRISTIANSTD, VIRGIN ISLANDS",ARGENTINA,5104-150
3002,260,2460.0,"TACOMA, WASHINGTON",CANADA,3002-260
3202,685,32.0,"HILO, HAWAII",NORWAY,3202-685
3204,150,81.0,"NAWILIWV-POR, HAWAII",ARGENTINA,3204-150
3201,685,42.0,"HONOLU/PEARL, HAWAII",NORWAY,3201-685
3204,685,25.0,"NAWILIWV-POR, HAWAII",NORWAY,3204-685
3201,150,1025.0,"HONOLU/PEARL, HAWAII",ARGENTINA,3201-150
3202,150,74.0,"HILO, HAWAII",ARGENTINA,3202-150
1105,940,206.0,"PAULSBORO, NEW JERSEY",VENEZUELA,1105-940
1118,940,136,"MARCUS HOOK, PENNSYLVANIA",VENEZUELA,1118-940
1004,670,973.0,"PERTH AMBOY, NEW JERSEY",NIGERIA,1004-670
1004,340,1346.0,"PERTH AMBOY, NEW JERSEY",FINLAND,1004-340
2704,720,865.0,"LOS ANGELES, CALIFORNIA",PERU,2704-720
5201,630,128.0,"MIAMI, FLORIDA",NETHERLANDS,5201-630
5203,630,611.0,"PT EVERGLADE, FLORIDA",NETHERLANDS,5203-630
2704,595,7850.0,"LOS ANGELES, CALIFORNIA",MEXICO,2704-595
5203,180,321.0,"PT EVERGLADE, FLORIDA","BAHAMAS, THE",5203-180
1001,260,2001.0,"NEW YORK, NEW YORK",CANADA,1001-260
1003,458,367.0,"NEWARK, NEW JERSEY",INDONESIA,1003-458
2301,280,48.0,"BROWNSVILLE, TEXAS",CHINA,2301-280
1002,940,31,"ALBANY, NEW YORK",VENEZUELA,1002-940
1703,350,108.0,"SAVANNAH, GEORGIA",FRANCE,1703-350
4909,260,2731.0,"SAN JUAN, PUERTO RICO",CANADA,4909-260
3301,260,860.0,"RAYMOND, MONTANA",CANADA,3301-260
3404,260,394.0,"NECHE, NORTH DAKOTA",CANADA,3404-260
5301,285,35670.0,"HOUSTON, TEXAS",COLOMBIA,5301-285
5301,940,2079.0,"HOUSTON, TEXAS",VENEZUELA,5301-940
1901,285,1406.0,"MOBILE, ALABAMA",COLOMBIA,1901-285
2704,515,14923.0,"LOS ANGELES, CALIFORNIA","KOREA, SOUTH",2704-515
3009,260,17794.0,"SUMAS, WASHINGTON",CANADA,3009-260
1001,480,18.0,"NEW YORK, NEW YORK",ITALY,1001-480
5301,480,2105.0,"HOUSTON, TEXAS",ITALY,5301-480
5301,350,733.0,"HOUSTON, TEXAS",FRANCE,5301-350
1001,350,95.0,"NEW YORK, NEW YORK",FRANCE,1001-350
5301,150,1125.0,"HOUSTON, TEXAS",ARGENTINA,5301-150
5301,580,36.0,"HOUSTON, TEXAS",MALAYSIA,5301-580
2809,490,1359.0,"SANFRANCISCO, CALIFORNIA",JAPAN,2809-490
2809,280,101.0,"SANFRANCISCO, CALIFORNIA",CHINA,2809-280
101,260,18604.0,"PORTLAND, MAINE",CANADA,101-260
115,260,4340.0,"CALAIS, MAINE",CANADA,115-260
401,260,29009.0,"BOSTON, MASSACHUSETTS",CANADA,401-260
132,260,1294.0,"BELFAST, MAINE",CANADA,132-260
131,260,4417.0,"PORTSMOUTH, NEW HAMPSHIRE",CANADA,131-260
1002,260,267.0,"ALBANY, NEW YORK",CANADA,1002-260
6601,490,770.0,"APRA, GUAM",JAPAN,6601-490
1901,515,11.0,"MOBILE, ALABAMA","KOREA, SOUTH",1901-515
203,260,42.0,"RICHFORD, VERMONT",CANADA,203-260
1004,785,438.0,"PERTH AMBOY, NEW JERSEY",SAUDI ARABIA,1004-785
1004,747,360,"PERTH AMBOY, NEW JERSEY",QATAR,1004-747
5312,720,297,"CORPUS CHRIS, TEXAS",PERU,5312-720
1001,455,1108.0,"NEW YORK, NEW YORK",INDIA,1001-455
1003,910,1705.0,"NEWARK, NEW JERSEY",UNITED ARAB EMIRATES,1003-910
5301,220,6915.0,"HOUSTON, TEXAS",BRAZIL,5301-220
412,285,1371.0,"NEW HAVEN, CONNECTICUT",COLOMBIA,412-285
1003,260,40948.0,"NEWARK, NEW JERSEY",CANADA,1003-260
5306,785,13712.0,"TEXAS CITY, TEXAS",SAUDI ARABIA,5306-785
2001,785,1058.0,"MORGAN CITY, LOUISIANA",SAUDI ARABIA,2001-785
2010,720,2243.0,"GRAMERCY, LOUISIANA",PERU,2010-720
5306,630,306,"TEXAS CITY, TEXAS",NETHERLANDS,5306-630
5306,595,1374.0,"TEXAS CITY, TEXAS",MEXICO,5306-595
2001,595,3374.0,"MORGAN CITY, LOUISIANA",MEXICO,2001-595
5306,465,3829.0,"TEXAS CITY, TEXAS",IRAQ,5306-465
2001,465,6818.0,"MORGAN CITY, LOUISIANA",IRAQ,2001-465
5306,350,106,"TEXAS CITY, TEXAS",FRANCE,5306-350
2010,190,1005.0,"GRAMERCY, LOUISIANA",BELGIUM,2010-190
2013,925,225,"ST ROSE, LOUISIANA",UNITED KINGDOM,2013-925
2811,280,291.0,"OAKLAND, CALIFORNIA",CHINA,2811-280
2709,280,39.0,"LONG BEACH, CALIFORNIA",CHINA,2709-280
1102,785,322,"CHESTER, PENNSYLVANIA",SAUDI ARABIA,1102-785
1102,805,6119.0,"CHESTER, PENNSYLVANIA",RUSSIA,1102-805
1103,805,14602.0,"WILMINGTON, DELAWARE",RUSSIA,1103-805
1102,670,8570.0,"CHESTER, PENNSYLVANIA",NIGERIA,1102-670
1103,670,7388.0,"WILMINGTON, DELAWARE",NIGERIA,1103-670
2104,630,235,"BEAUMONT, TEXAS",NETHERLANDS,2104-630
2104,465,8453.0,"BEAUMONT, TEXAS",IRAQ,2104-465
2104,285,489,"BEAUMONT, TEXAS",COLOMBIA,2104-285
2104,273,1901.0,"BEAUMONT, TEXAS",CHAD,2104-273
2104,260,7755.0,"BEAUMONT, TEXAS",CANADA,2104-260
5203,905,813.0,"PT EVERGLADE, FLORIDA",TURKEY,5203-905
704,260,767.0,"MASSENA, NEW YORK",CANADA,704-260
2812,795,2226.0,"RICHMOND, CALIFORNIA",SINGAPORE,2812-795
2827,795,1436.0,"SELBY, CALIFORNIA",SINGAPORE,2827-795
2709,795,1156.0,"LONG BEACH, CALIFORNIA",SINGAPORE,2709-795
5301,181,742.0,"HOUSTON, TEXAS",BAHRAIN,5301-181
1004,720,547.0,"PERTH AMBOY, NEW JERSEY",PERU,1004-720
1004,220,3122.0,"PERTH AMBOY, NEW JERSEY",BRAZIL,1004-220
1401,190,47.0,"NORFOLK, VIRGINIA",BELGIUM,1401-190
1003,190,4270.0,"NEWARK, NEW JERSEY",BELGIUM,1003-190
2002,150,1181.0,"NEW ORLEANS, LOUISIANA",ARGENTINA,2002-150
3201,550,15098.0,"HONOLU/PEARL, HAWAII",LIBYA,3201-550
1101,785,33828.0,"PHILADELPHIA, PENNSYLVANIA",SAUDI ARABIA,1101-785
1103,720,354.0,"WILMINGTON, DELAWARE",PERU,1103-720
1101,685,10056.0,"PHILADELPHIA, PENNSYLVANIA",NORWAY,1101-685
1103,685,4543.0,"WILMINGTON, DELAWARE",NORWAY,1103-685
1103,285,1570.0,"WILMINGTON, DELAWARE",COLOMBIA,1103-285
1103,260,4624.0,"WILMINGTON, DELAWARE",CANADA,1103-260
1103,940,90.0,"WILMINGTON, DELAWARE",VENEZUELA,1103-940
2002,940,1886.0,"NEW ORLEANS, LOUISIANA",VENEZUELA,2002-940
3602,260,84,"ASHLAND, WISCONSIN",CANADA,3602-260
5301,747,3396.0,"HOUSTON, TEXAS",QATAR,5301-747
3802,747,4.0,"PORT HURON, MICHIGAN",QATAR,3802-747
708,260,123.0,"ALEX BAY, NEW YORK",CANADA,708-260
2002,910,862.0,"NEW ORLEANS, LOUISIANA",UNITED ARAB EMIRATES,2002-910
1101,670,1957.0,"PHILADELPHIA, PENNSYLVANIA",NIGERIA,1101-670
1101,290,4640.0,"PHILADELPHIA, PENNSYLVANIA",CONGO (BRAZZAVILLE),1101-290
1101,925,7275.0,"PHILADELPHIA, PENNSYLVANIA",UNITED KINGDOM,1101-925
2017,785,5823.0,"LAKE CHARLES, LOUISIANA",SAUDI ARABIA,2017-785
2809,785,1787.0,"SANFRANCISCO, CALIFORNIA",SAUDI ARABIA,2809-785
1003,805,17457.0,"NEWARK, NEW JERSEY",RUSSIA,1003-805
1003,125,4104.0,"NEWARK, NEW JERSEY",ALGERIA,1003-125
2017,595,7547.0,"LAKE CHARLES, LOUISIANA",MEXICO,2017-595
5311,595,19686.0,"FREEPORT, TEXAS",MEXICO,5311-595
1003,550,1918.0,"NEWARK, NEW JERSEY",LIBYA,1003-550
5301,515,4918.0,"HOUSTON, TEXAS","KOREA, SOUTH",5301-515
2829,515,50.0,"SANPABLO BAY, CALIFORNIA","KOREA, SOUTH",2829-515
2002,515,1193.0,"NEW ORLEANS, LOUISIANA","KOREA, SOUTH",2002-515
2704,490,4055.0,"LOS ANGELES, CALIFORNIA",JAPAN,2704-490
2704,465,32860.0,"LOS ANGELES, CALIFORNIA",IRAQ,2704-465
1003,428,693.0,"NEWARK, NEW JERSEY",GERMANY,1003-428
2017,805,8350.0,"LAKE CHARLES, LOUISIANA",RUSSIA,2017-805
1003,922,3092.0,"NEWARK, NEW JERSEY",EGYPT,1003-922
5311,285,2054.0,"FREEPORT, TEXAS",COLOMBIA,5311-285
1003,940,2114.0,"NEWARK, NEW JERSEY",VENEZUELA,1003-940
3322,260,4786.0,"DEL BONITA, MONTANA",CANADA,3322-260
2301,595,6656.0,"BROWNSVILLE, TEXAS",MEXICO,2301-595
4909,630,432.0,"SAN JUAN, PUERTO RICO",NETHERLANDS,4909-630
1703,830,357.0,"SAVANNAH, GEORGIA",SPAIN,1703-830
2002,830,278.0,"NEW ORLEANS, LOUISIANA",SPAIN,2002-830
715,260,441.0,"TROUT RIVER, NEW YORK",CANADA,715-260
1101,458,513,"PHILADELPHIA, PENNSYLVANIA",INDONESIA,1101-458
131,925,192,"PORTSMOUTH, NEW HAMPSHIRE",UNITED KINGDOM,131-925
131,850,450.0,"PORTSMOUTH, NEW HAMPSHIRE",SWEDEN,131-850
1601,801,11.0,"CHARLESTON, SOUTH CAROLINA",SOUTH AFRICA,1601-801
1601,925,103.0,"CHARLESTON, SOUTH CAROLINA",UNITED KINGDOM,1601-925
2820,805,3373.0,"MARTINEZ, CALIFORNIA",RUSSIA,2820-805
2820,260,2281.0,"MARTINEZ, CALIFORNIA",CANADA,2820-260
2002,685,2111.0,"NEW ORLEANS, LOUISIANA",NORWAY,2002-685
2002,634,809.0,"NEW ORLEANS, LOUISIANA",KAZAKHSTAN,2002-634
2820,220,3121.0,"MARTINEZ, CALIFORNIA",BRAZIL,2820-220
2820,887,2077.0,"MARTINEZ, CALIFORNIA",TRINIDAD AND TOBAGO,2820-887
5301,630,3157.0,"HOUSTON, TEXAS",NETHERLANDS,5301-630
1501,630,59.0,"WILMINGTON, NORTH CAROLINA",NETHERLANDS,1501-630
412,630,4940.0,"NEW HAVEN, CONNECTICUT",NETHERLANDS,412-630
101,630,686.0,"PORTLAND, MAINE",NETHERLANDS,101-630
2010,227,211.0,"GRAMERCY, LOUISIANA",BELIZE,2010-227
1003,180,639.0,"NEWARK, NEW JERSEY","BAHAMAS, THE",1003-180
3201,795,1176.0,"HONOLU/PEARL, HAWAII",SINGAPORE,3201-795
5301,458,930.0,"HOUSTON, TEXAS",INDONESIA,5301-458
3111,260,64.0,"FAIRBANKS, ALASKA",CANADA,3111-260
2803,260,4.0,"FRESNO, CALIFORNIA",CANADA,2803-260
3303,260,50.0,"SALT LK CTY, UTAH",CANADA,3303-260
5301,490,751.0,"HOUSTON, TEXAS",JAPAN,5301-490
3382,260,5426.0,"NATRONA APRT, WYOMING",CANADA,3382-260
3901,850,15.0,"CHICAGO, ILLINOIS",SWEDEN,3901-850
4912,685,52,"GUAYANILLA, PUERTO RICO",NORWAY,4912-685
2002,925,717.0,"NEW ORLEANS, LOUISIANA",UNITED KINGDOM,2002-925
2101,595,41457.0,"PORT ARTHUR, TEXAS",MEXICO,2101-595
4909,809,184.0,"SAN JUAN, PUERTO RICO",BELARUS,4909-809
4909,805,4583.0,"SAN JUAN, PUERTO RICO",RUSSIA,4909-805
4908,809,4,"PONCE, PUERTO RICO",BELARUS,4908-809
4908,747,37.0,"PONCE, PUERTO RICO",QATAR,4908-747
4909,747,377.0,"SAN JUAN, PUERTO RICO",QATAR,4909-747
4909,451,1786.0,"SAN JUAN, PUERTO RICO",LITHUANIA,4909-451
4909,340,261.0,"SAN JUAN, PUERTO RICO",FINLAND,4909-340
4909,447,22.0,"SAN JUAN, PUERTO RICO",ESTONIA,4909-447
4909,315,45.0,"SAN JUAN, PUERTO RICO",DENMARK,4909-315
4908,315,25.0,"PONCE, PUERTO RICO",DENMARK,4908-315
2001,940,293,"MORGAN CITY, LOUISIANA",VENEZUELA,2001-940
109,260,39.0,"MADAWASKA, MAINE",CANADA,109-260
3803,260,487.0,"SAULT ST-MAR, MICHIGAN",CANADA,3803-260
3703,260,476.0,"GREEN BAY, WISCONSIN",CANADA,3703-260
2830,785,1554.0,"CARQUINEZ ST, CALIFORNIA",SAUDI ARABIA,2830-785
5203,785,164.0,"PT EVERGLADE, FLORIDA",SAUDI ARABIA,5203-785
5312,805,3809.0,"CORPUS CHRIS, TEXAS",RUSSIA,5312-805
2010,805,28154.0,"GRAMERCY, LOUISIANA",RUSSIA,2010-805
2101,630,370.0,"PORT ARTHUR, TEXAS",NETHERLANDS,2101-630
5312,630,35,"CORPUS CHRIS, TEXAS",NETHERLANDS,5312-630
2830,595,1550.0,"CARQUINEZ ST, CALIFORNIA",MEXICO,2830-595
5312,595,11506.0,"CORPUS CHRIS, TEXAS",MEXICO,5312-595
5312,550,205,"CORPUS CHRIS, TEXAS",LIBYA,5312-550
2010,634,657.0,"GRAMERCY, LOUISIANA",KAZAKHSTAN,2010-634
5203,520,101,"PT EVERGLADE, FLORIDA",KUWAIT,5203-520
2830,490,193,"CARQUINEZ ST, CALIFORNIA",JAPAN,2830-490
2830,465,10307.0,"CARQUINEZ ST, CALIFORNIA",IRAQ,2830-465
5203,455,174.0,"PT EVERGLADE, FLORIDA",INDIA,5203-455
412,455,1463.0,"NEW HAVEN, CONNECTICUT",INDIA,412-455
2010,455,258.0,"GRAMERCY, LOUISIANA",INDIA,2010-455
2101,428,343.0,"PORT ARTHUR, TEXAS",GERMANY,2101-428
5312,428,33,"CORPUS CHRIS, TEXAS",GERMANY,5312-428
